taxon	sequenceID	subfamily	genus	clade	host_group	vector_group	isolate	sampled_host_sci_name	sample_date	country
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/DQ859056	DQ859056	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	South Africa
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/DQ859067	DQ859067	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Nigeria
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_002031	NC_002031	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	-
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_005039	NC_005039	FlaviPesti	Flavivirus	NKV2	mosquito	mosquito	-	-	-	-
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_008718	NC_008718	FlaviPesti	Flavivirus	NKV2	unknown	unknown	-	bat	-	Uganda
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_008719	NC_008719	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	mosquito	-	Papua New Guinea
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_012735	NC_012735	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	South Africa
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_026624	NC_026624	FlaviPesti	Flavivirus	NKV2	ticks	ticks	-	Vespertilio pipistrellus	-	Kyrgyzstan
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_027999	NC_027999	FlaviPesti	Flavivirus	dISF2	Lutzomyia	none	Ecuador2012	Lutzomyia abonnenci	-	Ecuador
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_030289	NC_030289	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Australia
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_033693	NC_033693	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Central African Republic
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_033697	NC_033697	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Senegal
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_033698	NC_033698	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Uganda
alignment/AL_FLAVI_SUBGENUS_MBFV2/member/ncbi-refseqs/NC_033699	NC_033699	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Malaysia
